student_id,major,gpa,credits,hours_studied
1,Business,3.31,15,1
2,Business,3.02,12,5
3,Biology,5.2,9,42
4,Nursing,3.17,3,1
5,Biology,2.97,3,0
6,Biology,3.04,9,5
7,Business,3.51,12,-4
8,Business,2.8,9,14
9,Nursing,3.5,6,23
10,Business,NA,6,22
11,Business,2.55,12,3
12,Business,3.01,6,7
13,Nursing,2.23,6,3
14,Business,3.26,15,8
15,Business,3.07,3,4
16,Business,2.67,9,27
17,Business,2.82,9,0
18,Biology,2.55,9,4
19,Nursing,2.29,3,1
20,Nursing,2.49,3,5
21,Nursing,2.53,6,7
22,Biology,NA,12,8
23,Business,2.77,9,8
24,Biology,3.33,6,3
25,Business,3.55,3,5
26,Business,3.63,3,6
27,Nursing,2.77,3,4
28,Nursing,3,6,2
29,Nursing,2.81,6,9
30,Nursing,3.14,3,1
31,Biology,2.92,3,3
32,Nursing,2.97,6,3
33,Business,3.1,9,15
34,Business,3.45,3,7
35,Nursing,NA,6,2
36,Business,2.98,12,6
37,Biology,3.13,12,1
38,Nursing,3.07,3,4
39,Business,3.08,3,2
40,Biology,2.7,9,9
41,Business,3.42,15,10
42,Nursing,3.91,3,13
43,Business,4.21,9,13
44,Biology,3.06,6,9
45,Biology,3.08,9,7
46,Biology,2.7,12,4
47,Biology,3.14,9,13
48,Business,2.42,15,1
49,Biology,2.82,3,7
50,Nursing,3.09,6,8
